141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 200.0, 172.0, 155.0, 145.0, 141.0, 213.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
